第1页,,,,,,,1.准确性,2,1,0,0,2,,2.相关性,2,1,0,0,2,,3.简洁性,0,0,0,0,5,,4.有用性,2,1,0,0,2,,5.可读性,0,0,0,1,4
,,,,,,,1.准确性,0,0,0,1,4,,2.相关性,0,0,0,0,5,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,0,0,5,,5.可读性,0,0,0,1,4
2. 1640854,,,,,,,1.准确性,2,1,0,0,2,,2.相关性,2,1,0,0,2,,3.简洁性,0,0,0,0,5,,4.有用性,2,0,0,1,2,,5.可读性,2,0,0,0,3
问题,1（极差）,2,3,4,5（优秀）,,1.准确性,0,1,0,0,4,,2.相关性,0,2,1,0,2,,3.简洁性,0,0,0,0,5,,4.有用性,0,2,1,0,2,,5.可读性,0,0,0,0,5
1.准确性,2,1,0,0,2,,1.准确性,2,0,1,0,2,,2.相关性,2,0,0,1,2,,3.简洁性,0,0,0,0,5,,4.有用性,2,0,1,0,2,,5.可读性,0,0,0,0,5
2.相关性,2,1,0,0,2,,1.准确性,2,1,0,0,2,,2.相关性,2,1,0,0,2,,3.简洁性,0,0,0,0,5,,4.有用性,2,1,0,0,2,,5.可读性,0,0,0,0,5
3.简洁性,0,0,0,0,5,,1.准确性,2,1,0,0,2,,2.相关性,2,1,0,0,2,,3.简洁性,0,0,0,0,5,,4.有用性,0,2,1,0,2,,5.可读性,0,0,0,0,5
4.有用性,2,1,0,0,2,,1.准确性,0,1,0,0,4,,2.相关性,0,0,1,0,4,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,1,0,4,,5.可读性,0,0,0,1,4
5.可读性,0,0,0,1,4,,1.准确性,0,0,2,1,2,,2.相关性,0,0,1,2,2,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,0,3,2,,5.可读性,0,0,0,0,5
有效填写量,5,,,,,,1.准确性,0,0,0,0,5,,2.相关性,0,0,0,0,5,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,0,0,5,,5.可读性,0,0,0,0,5
,,,,,,,1.准确性,0,1,0,0,4,,2.相关性,0,1,0,2,2,,3.简洁性,0,0,0,0,5,,4.有用性,0,1,0,0,4,,5.可读性,0,0,0,0,5
3. 1717768,,,,,,,1.准确性,0,0,1,0,4,,2.相关性,0,0,0,1,4,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,1,0,4,,5.可读性,0,0,0,0,5
问题,1（极差）,2,3,4,5（优秀）,,1.准确性,0,1,2,0,2,,2.相关性,0,2,1,0,2,,3.简洁性,0,0,0,2,3,,4.有用性,0,0,3,0,2,,5.可读性,0,0,0,0,5
1.准确性,0,0,0,1,4,,1.准确性,0,1,0,0,4,,2.相关性,0,1,0,0,4,,3.简洁性,0,0,0,2,3,,4.有用性,0,1,0,0,4,,5.可读性,0,0,0,2,3
2.相关性,0,0,0,0,5,,1.准确性,0,0,1,0,4,,2.相关性,0,0,3,0,2,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,1,2,2,,5.可读性,0,0,0,0,5
3.简洁性,0,0,0,0,5,,1.准确性,0,1,0,0,4,,2.相关性,0,1,0,0,4,,3.简洁性,0,0,0,0,5,,4.有用性,0,0,0,0,5,,5.可读性,0,0,0,0,5
